id,type,gender,word,cn,forms,example,source
301,填空,,离散; 连续,分类与回归的区别：分类目标属性是____；回归目标属性是____。,完整：分类离散；回归连续,Chapter3,Anki
302,填空,,内部节点; 分支; 叶子节点,决策树结构：1. ____代表属性测试; 2. ____代表属性取值; 3. ____代表分类结果。,完整：内部节点；分支；叶子节点,Chapter3,Anki
303,填空,,合取的析取式,逻辑表达式角度看决策树：代表了实例属性值约束的____。,完整：合取的析取式,Chapter3,Anki
304,填空,,贪婪搜索,ID3 算法搜索策略：自顶向下的____。,完整：贪婪搜索,Chapter3,Anki
305,填空,,纯度; 不确定性,信息熵（Entropy）含义：度量样本集合的____或____。,完整：纯度；不确定性,Chapter3,Anki
306,填空,,1; 0,信息熵数值：正反样例相等时为____；所有成员同一类时为____。,完整：1；0,Chapter3,Anki
307,填空,,信息增益,ID3 算法划分指标：____。,完整：信息增益,Chapter3,Anki
308,填空,,取值较多,信息增益准则主要缺点：偏向于选择____的属性。,完整：取值较多,Chapter3,Anki
309,填空,,较短,ID3 算法归纳偏置：优先选择____的树。,完整：较短的树,Chapter3,Anki
310,填空,,信息增益比; 连续值属性; 缺失值; 剪枝,C4.5 相对于 ID3 的改进：1. 使用____; 2. 处理____; 3. 处理____; 4. 引入____。,完整：信息增益比；连续值；缺失值；剪枝,Chapter3,Anki
311,填空,,分裂信息,信息增益比修正方法：在信息增益基础上除以____。,完整：分裂信息,Chapter3,Anki
312,填空,,二叉树,CART 算法构建的是：____。,完整：二叉树,Chapter3,Anki
313,填空,,基尼指数; 均方误差,CART 划分标准：分类任务使用____; 回归任务使用____。,完整：基尼指数；均方误差,Chapter3,Anki
314,填空,,纯度越高,基尼指数（Gini Index）含义：基尼值越小，____。,完整：纯度越高,Chapter3,Anki
315,填空,,测试集,决策树过拟合：在训练集表现好，但在____上表现差。,完整：测试集,Chapter3,Anki
316,填空,,预剪枝; 后剪枝,决策树防止过拟合策略：1. ____; 2. ____。,完整：预剪枝；后剪枝,Chapter3,Anki
317,填空,,二分法; 中点,C4.5 处理连续值属性：采用____；取相邻两个值的____作为候选分裂点。,完整：二分法；中点,Chapter3,Anki
318,填空,,概率权重,决策树处理缺失值：为该属性的每个可能值赋予一个____。,完整：概率权重,Chapter3,Anki
319,填空,,等价的规则集合,规则后修剪（Rule Post-Pruning）：首先将树转化为____。,完整：等价的规则集合,Chapter3,Anki
