id,type,gender,word,cn,forms,example,source
201,填空,,w^T x + b,线性模型（Linear Model）的一般向量形式：f(x) = ____。,完整：f(x) = w^T x + b,Chapter2,Anki
202,填空,,k维向量,线性回归处理“无序”离散属性：将其转化为____（通常使用独热编码）。,完整：k维向量,Chapter2,Anki
203,填空,,最小二乘法,线性回归最常用的参数估计方法：____。,完整：最小二乘法,Chapter2,Anki
204,填空,,梯度下降法,当 X^TX 不满秩或样本量极大时求解参数：使用____。,完整：梯度下降法,Chapter2,Anki
205,填空,,联系函数,广义线性模型：y = g^-1(w^T x + b) 其中 g(·) 称为____。,完整：联系函数,Chapter2,Anki
206,填空,,L2范数正则化项,岭回归（Ridge Regression）特点：在平方误差的基础上增加了____。,完整：L2范数正则化项,Chapter2,Anki
207,填空,,L1范数正则化项; 稀疏解; 特征选择,Lasso 回归特点：在平方误差的基础上增加了____；能获得____，用于____。,完整：L1正则化；稀疏解；特征选择,Chapter2,Anki
208,填空,,L1; L2,弹性网络（Elastic Net）：结合了____和____两种正则化项。,完整：L1 和 L2,Chapter2,Anki
209,填空,,输出范围不匹配; 对异常值敏感,不能直接用线性回归做分类任务：1. ____; 2. ____。,完整：输出范围不匹配；对异常值敏感,Chapter2,Anki
210,填空,,Sigmoid 函数,对数几率回归（Logistic Regression）映射函数：____。,完整：Sigmoid 函数,Chapter2,Anki
211,填空,,极大似然法,对数几率回归参数估计：通常使用____。,完整：极大似然法,Chapter2,Anki
212,填空,,多分类,Softmax 回归适用场景：____问题。,完整：多分类,Chapter2,Anki
213,填空,,符号函数,感知机（Perceptron）的激活函数：____。,完整：符号函数,Chapter2,Anki
214,填空,,线性可分; XOR,单层感知机最大局限：只能解决____问题，无法解决____等非线性问题。,完整：线性可分；XOR,Chapter2,Anki
215,填空,,类间散度; 类内散度,线性判别分析（LDA）核心思想：最大化____，最小化____。,完整：类间散度；类内散度,Chapter2,Anki
216,填空,,监督降维,LDA 除了用于分类，还可以被视为：一种____技术。,完整：监督降维,Chapter2,Anki
217,填空,,一对一; 一对其余,多分类学习拆分策略：1. ____ (OvO); 2. ____ (OvR/OvA)。,完整：一对一；一对其余,Chapter2,Anki
218,填空,,特征维度过少; 模型太简单,欠拟合（Underfitting）主要原因：____，____。,完整：特征维度过少；模型太简单,Chapter2,Anki
219,填空,,特征维度过多; 正则化,过拟合（Overfitting）主要原因及解决：原因：____；解决：减少特征、____等。,完整：特征维度过多；正则化,Chapter2,Anki
220,填空,,更高维; 非线性,基函数扩展：将原始特征映射到____空间，解决原空间的____问题。,完整：更高维；非线性,Chapter2,Anki
221,填空,,再缩放/阈值移动; 欠采样; 过采样,解决类别不平衡问题的三种方法：1. ____; 2. ____; 3. ____。,完整：再缩放；欠采样；过采样,Chapter2,Anki
222,填空,,过采样; 线性插值,SMOTE 算法：属于____方法；在少数类样本之间进行____生成新样本。,完整：过采样；线性插值,Chapter2,Anki
