id,type,gender,word,cn,forms,example,source
501,填空,,概率分布; 最优的决策,贝叶斯学习核心假定：待考察的量遵循某____，可推理作出____。,完整：概率分布；最优的决策,Chapter5,Anki
502,填空,,增量地,贝叶斯学习最大优点：每个训练样例可以____降低或升高某假设的估计概率。,完整：增量地,Chapter5,Anki
503,填空,,初始概率,先验概率（Prior Probability）：没有训练数据前假设 h 拥有的____。,完整：初始概率,Chapter5,Anki
504,填空,,先验信息; 样本信息,后验概率（Posterior Probability）：给定数据 D 时假设 h 成立的概率；是____和____的综合。,完整：先验信息；样本信息,Chapter5,Anki
505,填空,,P(D),贝叶斯公式：P(h|D) = P(D|h)P(h) / ____。,完整：P(D),Chapter5,Anki
506,填空,,极大后验假设,MAP：假设空间中可能性最大（后验概率最大）的假设称为____。,完整：极大后验假设,Chapter5,Anki
507,填空,,相同的先验概率,极大似然假设（MLE）：当假定____时，使 P(D|h) 最大的假设。,完整：相同的先验概率,Chapter5,Anki
508,填空,,先验概率 P(h) 相同,条件：极大后验假设（MAP）等同于极大似然假设（MLE）当且仅当____。,完整：先验概率 P(h) 相同,Chapter5,Anki
509,填空,,MAP,无噪声数据且目标概念在假设空间中：每个与数据一致的假设都是____假设。,完整：MAP,Chapter5,Anki
510,填空,,极大似然假设,误差服从均值为0的独立正态分布：最小化误差平方和等价于寻找____。,完整：极大似然假设,Chapter5,Anki
511,填空,,交叉熵,神经网络最大化对数似然对应于最小化：____。,完整：交叉熵,Chapter5,Anki
512,填空,,假设的描述长度; 数据的描述长度,最小描述长度（MDL）准则：最小化____和____之和。,完整：假设的描述长度；数据的描述长度,Chapter5,Anki
513,填空,,后验概率,贝叶斯最优分类器：将所有假设预测结合，权重为各假设的____。,完整：后验概率,Chapter5,Anki
514,填空,,随机选择; 两倍,Gibbs 算法：按后验概率____一个假设；期望误分类率最多为贝叶斯最优的____。,完整：随机选择；两倍,Chapter5,Anki
515,填空,,相互独立,朴素贝叶斯分类器核心假设：给定目标值，各个属性值之间____。,完整：相互独立,Chapter5,Anki
516,填空,,数据稀疏; 计算复杂度,引入条件独立性假设目的：解决____问题，降低____。,完整：数据稀疏；计算复杂度,Chapter5,Anki
517,填空,,零概率,朴素贝叶斯 m-估计（m-estimate）：解决____问题。,完整：零概率,Chapter5,Anki
518,填空,,条件独立于,贝叶斯信念网弧的含义：变量在给定其直接前驱时____其非后继。,完整：条件独立于,Chapter5,Anki
519,填空,,Parents(y_i),贝叶斯信念网联合概率：P(y_1...y_n) = \prod P(y_i | ____)。,完整：Parents(y_i),Chapter5,Anki
520,填空,,梯度上升法; EM算法,贝叶斯网学习（部分变量不可观察）：使用____或____。,完整：梯度上升法；EM算法,Chapter5,Anki
521,填空,,MAP; MLE; 贝叶斯最优分类器; 朴素贝叶斯; 贝叶斯信念网,第五章核心知识点总结：____, ____, ____, ____, ____。,完整：MAP; MLE; 贝叶斯最优分类器; 朴素贝叶斯; 贝叶斯信念网,Chapter5,Anki
