id,type,gender,word,cn,forms,example,source
601,填空,,高; 低,聚类基本目标：使得“簇内相似度”____，且“簇间相似度”____。,完整：高；低,Chapter6,Anki
602,填空,,参考模型; 聚类结果,聚类性能度量：外部指标比较____；内部指标考察____。,完整：参考模型；聚类结果,Chapter6,Anki
603,填空,,Jaccard系数; FM指数; Rand指数,常见外部指标：____, ____, ____。,完整：Jaccard系数；FM指数；Rand指数,Chapter6,Anki
604,填空,,小; 大,DB指数（DBI）和 Dunn指数（DI）：DBI 越____越好；DI 越____越好。,完整：小；大,Chapter6,Anki
605,填空,,曼哈顿距离; 欧氏距离,闵可夫斯基距离：p=1 对应____；p=2 对应____。,完整：曼哈顿距离；欧氏距离,Chapter6,Anki
606,填空,,VDM,处理“无序属性”距离计算：使用____。,完整：VDM,Chapter6,Anki
607,填空,,一组原型,原型聚类核心假设：聚类结构能通过____刻画。,完整：一组原型,Chapter6,Anki
608,填空,,平方误差 E; 均值向量,k-Means 优化目标：最小化____（样本围绕____的紧密程度）。,完整：平方误差 E；均值向量,Chapter6,Anki
609,填空,,类别标记,LVQ 算法不同点：利用样本____辅助学习原型。,完整：类别标记,Chapter6,Anki
610,填空,,期望; 期望似然,EM 算法步骤：E步推断隐变量分布（计算____）；M步最大化____。,完整：期望；期望似然,Chapter6,Anki
611,填空,,概率模型; 多元高斯分布,高斯混合聚类（GMM）采用____（____）表达聚类原型。,完整：概率模型；多元高斯分布,Chapter6,Anki
612,填空,,邻域半径; 最小样本数,DBSCAN 两个参数：____ (epsilon) 和 ____ (MinPts)。,完整：邻域半径；最小样本数,Chapter6,Anki
613,填空,,核心对象,DBSCAN 定义：ϵ-邻域内包含 MinPts 个样本的点称为____。,完整：核心对象,Chapter6,Anki
614,填空,,任意形状; 噪声; 簇的个数 k,DBSCAN 优势：发现____的簇；对____不敏感；无需指定____。,完整：任意形状；噪声；簇的个数 k,Chapter6,Anki
615,填空,,自底向上; 最近,AGNES 算法策略：____聚合；不断合并距离____的两个簇。,完整：自底向上；最近,Chapter6,Anki
616,填空,,最小距离; 最大距离; 平均距离,AGNES 簇间距离计算：____, ____, ____。,完整：最小距离；最大距离；平均距离,Chapter6,Anki
617,填空,,归一化; 尺度,数据预处理：____很重要；防止特征____差异主导距离。,完整：归一化；尺度,Chapter6,Anki
618,填空,,原型聚类; 密度聚类; 层次聚类,算法分类总结：k-Means 是____；DBSCAN 是____；AGNES 是____。,完整：原型聚类；密度聚类；层次聚类,Chapter6,Anki
